0CAA,EDP  ACCTG                                                                                                    
0CAB,EDP SYSTEM                                                                                                    
0CAC,MECH DATA PROC SYS PCAM                                                                                       
0CAD,COMPUTER SCI/ARTIFICIAL INT                                                                                   
0CAX,BUS/ADMIN/MGMT/ADP EDP                                                                                        
0CAY,COMPUTER SYS/DATA PROCESSING                                                                                  
0CBA,ANALOG/DIGITAL COMPUTATION                                                                                    
0CBB,DIGITAL COMPUTER DESIGN                                                                                       
0CBC,DIGITAL DATA SYSTEMS                                                                                          
0CBD,INFORMATION STORAGE&RETURN                                                                                    
0CBE,SYMBOLIC LANGUAGE DEVELOP                                                                                     
0CBX,ELECT COMPUTATION OTHER                                                                                       
0CBY,ELECTRONIC COMPUTATION                                                                                        
0CCA,APPL OF DATA PROC                                                                                             
0CCB,COMPUTER THEORY                                                                                               
0CCC,DATA PROC OPNS RES                                                                                            
0CCD,COMPUTER INFO SYSTEMS                                                                                         
0CCX,APPLIED DATA PROC                                                                                             
0CCY,APPLIED EDP INDUSTRL ENGR                                                                                     
0CDA,ANALOGUE SYSTEMS                                                                                              
0CDB,DIGITAL CMPTRS C/P                                                                                            
0CDC,DIGITAL CMPTRS L/D                                                                                            
0CDX,NUM METHODS/COMP                                                                                              
0CDY,NUM METHODS IN EDP                                                                                            
0CEA,EMBEDDED SOFTWARE                                                                                             
0CEY,SOFTWARE DESIGN SYSTEMS                                                                                       
0CFY,SOFTWARE ENGINEERING                                                                                          
0CNY,COMP COMM NETWORKS                                                                                            
0CYA,INFORMATION ASSURANCE                                                                                         
0CYC,CYBER OPERATION                                                                                               
0CYW,CYBER WARFARE                                                                                                 
0CYY,COMPUTER SCIENCE                                                                                              
0EYY,0EYY-UNKNOWN                                                                                                  
0GAY,AEROSPACE SCIENCE                                                                                             
0GYY,GENERAL/LIBERAL STUDIES                                                                                       
0HIY,0HIY-UNKNOWN                                                                                                  
0IYY,INFORMATION SYSTEMS MGT                                                                                       
0IYZ,COMPUTER RESEARCH/INFORMATION MANAGEMENT                                                                      
0LYY,OLYY-UNKNOWN                                                                                                  
0SYY,AEROSPACE SAFETY                                                                                              
0WMB,COMBATING WMD  BIO WPNS                                                                                       
0WMC,COMBATING WMD  CHEM WPNS                                                                                      
0WMD,COMBATING/COUNTERING WEAPONS OF MASS DESTRUCTION WMD                                                          
0WMN,COMBATING WMD  NUC/RAD WPNS                                                                                   
0Y  ,0Y  -UNKNOWN                                                                                                  
0Y0Y,0Y0Y-UNKNOWN                                                                                                  
0YAA,AGRI FD CHEM ALCOHIC BEV                                                                                      
0YAB,AGRI FD CHEM ANI VEG FATS                                                                                     
0YAC,AGRI FD CHEM ANI FEEDS                                                                                        
0YAD,AGRI FD CHEM BAK CONF PROD                                                                                    
0YAE,AGRI FD CHEM CEREAL CARBOH                                                                                    
0YAF,AGRI FD CHEM FERT PLANT GR                                                                                    
0YAG,AGRI FD CHEM FD FEED ADDIT                                                                                    
0YAH,AGRI FD CHEM FRUIT VEG JUI                                                                                    
0YAI,AGRI FD CHEM MET FSH DA PO                                                                                    
0YAJ,AGRI FD CHEM NONALCOHL BEV                                                                                    
0YAK,AGRI FD CHEM NONFD CROP PR                                                                                    
0YAL,AGRI FD CHEM PESTICIDES                                                                                       
0YAX,AGRI FD CHEM OTHER                                                                                            
0YAY,AGRI & FOOD CHEMISTRY                                                                                         
0YBA,BIOCHEM AMINO ACID PEP PRO                                                                                    
0YBB,BIOCHEM ANTIMETABOLITES                                                                                       
0YBC,BIOCHEM BIOCHEM MECHANISMS                                                                                    
0YBD,BIOCHEM BIOCHEMORPHOLOGY                                                                                      
0YBE,BIOCHEM CARBOHYDRATES                                                                                         
