11A,AIRLIFT PILOT                                                                   
11B,BOMBER PILOT                                                                    
11F,FIGHTER PILOT                                                                   
11G,GENERALIST PILOT                                                                
11H,RESCUE PILOT                                                                    
11K,TRAINER PILOT                                                                   
11M,MOBILITY PILOT                                                                  
11R,RECCE/SURV/ELECT WARFARE PILOT                                                  
11S,SPECIAL OPERATIONS PILOT                                                        
11U,REMOTELY PILOTED AIRCRAFT PILOT                                                 
11X,PILOT                                                                           
12,RESERVED                                                                        
12B,BOMBER COMBAT SYSTEMSS OFFICER                                                  
12F,FIGHTER COMBAT SYSTEMS OFFICER                                                  
12G,GENERALIST NAVIGATOR                                                            
12H,RESCUE COMBAT SYSTEMS OFFICER                                                   
12K,TRAINER COMBAT SYSTEMS OFFICER                                                  
12M,MOBILITY COMBAT SYSTEMS OFFICER                                                 
12R,RECCE/SURV/ELECT WARFARE COMBAT SYSTEMS OFFICER                                 
12S,SPECIAL OPERATIONS COMBAT SYSTEMS OFFICER                                       
12T,TANKER NAVIGATOR                                                                
12U,REMOTELY PILOTED AIRAFT COMBAT SYSTEMS OFFICER                                  
12X,NAVIGATOR                                                                       
13,RESERVED                                                                        
13A,AIR TRAFFIC CONTROL  HIST                                                       
13B,AIR BATTLE MANAGEMENT                                                           
13C,SPECIAL TACTICS                                                                 
13D,COMBAT RESCUE                                                                   
13E,COMMAND & CONTROL OPS  HIST                                                     
13L,AIR LIAISON OFFICER                                                             
13M,AIRFIELD OPERATIONS                                                             
13N,ICBM OPERATIONS                                                                 
13S,SPACE OPERATIONS                                                                
13U,REMOTELY PILOTED AIRCRAFT AIR BATTLE MANAGER                                    
13X,"SPACE, NUCLEAR, MISSILE, C2                                                     "
14F,INFORMATION OPERATIONS                                                          
14N,INTELLIGENCE                                                                    
15,RESERVED                                                                        
15W,WEATHER                                                                         
16,16XX   AIR TRAFFIC                                                              
16F,REGIONAL AFFAIRS STRATEGIST                                                     
16G,AIR FORCE OPS STAFF OFFICER                                                     
16P,POLITICAL MILITARY AFFAIRS STRATEGIST                                           
16R,PLANNING AND PROGRAMMING                                                        
17,17XX   WEAPONS CONTROL                                                          
17D,CYBERSPACE OPERATIONS                                                           
17S,CYBER WARFARE OPERATIONS                                                        
18,18XX   MISSILE OPS                                                              
18A,ATTACK REMOTELY PILOTED AIRCRAFT PILOT                                          
18R,RECCE REMOTELY PILOTED AIRCRAFT PILOT                                           
18S,SPECIAL OPERATIONS REMOTELY PILOTED AIRCRAFT PILOT                              
18X,18X-UNKNOWN                                                                     
19,19XX   COMMAND POST                                                             
1AA,HEALTH SERVICES ADMINISTRATOR  41A  AWAITING SPECIALTY MATCH  41AA              
1AF,MEDICAL FACILITIES SPECIALTY MATCH  41AF                                        
1AL,MEDICAL LOGISTICS SPECIALTY MATCH  41AL                                         
1AM,MEDICAL RESOURCE MANAGEMENT SPECIALTY MATCH  41AM                               
1AP,HEALTH PLANS MANAGEMENT SPECIALTY MATCH  41AP                                   
1AR,MEDICAL READINESS SPECIALTY MATCH  41AR                                         
1AS,INFORMATION SYSTEMS MANAGEMENT SPECIALTY MATCH  41AS                            
1AX,HEALTH SERVICES ADMINISTRATOR  41A  WILL NOT BE SPECIALTY MATCHED  41AX         
20,20XX   SPACE OPS                                                                
20C,LOGISTICS GROUP COMMANDER                                                       
21,21XX   POL MIL AFFAIRS                                                          
21A,AIRCRAFT MAINT/MUNITIONS                                                        
21B,OPERATIONS MAINTENANCE                                                          
21G,LOGISTICS PLANS                                                                 
21L,LOGISTICAN  HIST                                                                
21M,SPACE & MISSILE MAINT                                                           
21R,LOGISTICS READINESS OFFICER                                                     
21S,SUPPLY                                                                          
21T,TRANSPORTATION                                                                  
22,RESERVED                                                                        
22S,LOGISTICS                                                                       
23,23XX   AUDIO VISUAL                                                             
23S,LOGISTICS                                                                       
24,RESERVED                                                                        
24T,LOGISTICS                                                                       
25,25XX   WEATHER                                                                  
25L,LOGISTICS PLANS                                                                 
26,26XX   SCIENTIFIC                                                               
27,27XX   SYS ACQ                                                                  
28,28XX   R AND D ENGR                                                             
29,29XX   PROGRAM MANAGER  HIST                                                    
2B1,THERAPIST  PHYSICAL  TRAINING  42B1                                             
2B3,THERAPIST  PHYSICAL  STAFF  42B3                                                
2B4,THERAPIST  PHYSICAL  ADMIN  42B4                                                
2BX,PHYSICAL THERAPIST  42B                                                         
2.00E+01,OPTOMETRIST  TRAINING  42E1                                                     
2.00E+03,OPTOMETRIST  STAFF  42E3                                                        
2.00E+04,OPTOMETRIST  ADMIN  42E4                                                        
2EX,OPTOMETRIST  42E                                                                
